,url,price,area,location,latitude,longitude,bedrooms,bathrooms,property_type,parking,laundry,EV_charging,air_conditioning,furnished,smoking,wheelchair_accessible,cats_allowed,dogs_allowed,city,zip_code,state,neighbourhood
8677,https://sfbay.craigslist.org/pen/apa/d/redwood-city-view-your-new-home-today/7600663125.html,3561,722,redwood city,37.482166,-122.227584,1,1.0,2.0,3,4,1,1,0,0,0,1,1,Redwood City,94063,California,None
8678,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-clubhouse-laundry/7600390022.html,4097,900,nob hill,37.7917,-122.4186,2,2.0,2.0,1,4,1,0,0,1,0,1,1,San Francisco,94164,California,Chinatown
8679,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-2ba-full-floor-flat/7597085203.html,5400,1300,castro / upper market,37.761954,-122.43065,3,2.0,2.0,2,4,0,1,0,0,0,0,0,San Francisco,94143,California,Castro District
8680,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-oceanview-city-views-wood/7594138239.html,2795,700,USF / panhandle,37.77888,-122.453628,1,1.0,2.0,2,2,0,0,0,0,0,0,0,San Francisco,94118,California,Jordan Park
8681,https://sfbay.craigslist.org/eby/apa/d/antioch-fabulous-1x1-month-to-month/7600597578.html,1395,680,pittsburg / antioch,38.003737,-121.834137,1,1.0,2.0,3,1,0,1,0,1,0,0,0,Antioch,94509,California,None
8682,https://sfbay.craigslist.org/eby/apa/d/hayward-beautifully-renovated-1br/7600631472.html,2084,640,hayward / castro valley,37.629443,-122.097201,1,1.0,2.0,3,1,0,0,0,0,0,1,1,Hayward,94545,California,None
8683,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fresh-sunny-corner-unit/7600716358.html,3050,900,sunset / parkside,37.754051,-122.480759,2,1.0,2.0,2,2,0,0,0,0,0,1,1,San Francisco,94122,California,None
8684,https://sfbay.craigslist.org/eby/apa/d/oakland-2br-1ba-alameda-cottage/7600462610.html,2750,1041,alameda,37.757228,-122.232679,2,1.0,2.0,0,3,0,0,0,0,0,1,1,Alameda,94502,California,East End
8685,https://sfbay.craigslist.org/sby/apa/d/san-jose-cable-available-shimmering/7600389030.html,2415,683,willow glen / cambrian,37.3249,-121.9153,1,1.0,2.0,3,1,0,1,0,1,1,1,1,San Jose,95126,California,None
8686,https://sfbay.craigslist.org/sby/apa/d/san-jose-large-2br-ba-upstairs-unit/7597005515.html,2395,726,campbell,37.288202,-121.976768,2,1.0,2.0,3,1,0,0,0,0,0,0,0,Campbell,95130,California,None
8687,https://sfbay.craigslist.org/eby/apa/d/alameda-alameda-bdrm-single-house/7597756035.html,4600,1868,alameda,37.780582,-122.27368,4,2.5,6.0,4,4,0,1,0,0,0,1,1,Alameda,94501,California,None
8688,https://sfbay.craigslist.org/eby/apa/d/san-leandro-one-bedroom-unit-with/7598968399.html,2000,642,san leandro,37.713046,-122.139845,1,1.0,4.0,4,4,0,0,0,0,0,1,0,San Leandro,94578,California,None
8689,https://sfbay.craigslist.org/eby/apa/d/oakland-large-br-bath-apartment-free/7600379031.html,3450,1250,oakland piedmont / montclair,37.829497,-122.250667,2,2.0,2.0,2,1,0,0,0,1,0,1,0,Oakland,94618,California,Piedmont Avenue
8690,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-comfortable-bright/7596945029.html,4300,1270,potrero hill,37.753303,-122.401628,3,2.0,2.0,5,4,0,0,0,1,0,0,0,San Francisco,94124,California,Potrero Terrace
8691,https://sfbay.craigslist.org/eby/apa/d/san-pablo-luxury-bedroom-south-of/7597633277.html,2650,901,"hercules, pinole, san pablo, el sob",37.96557,-122.320061,2,2.0,2.0,3,4,0,0,0,0,0,1,1,Richmond,94803,California,None
8692,https://sfbay.craigslist.org/sby/apa/d/san-jose-running-trail-access-outdoor/7596889651.html,3125,778,san jose south,37.2685,-121.849,1,1.0,2.0,4,4,1,1,0,1,1,1,1,San Jose,95136,California,None
8693,https://sfbay.craigslist.org/pen/apa/d/burlingame-fully-furnished-570-pullman/7600260262.html,3500,960,Hillsborough,37.558034,-122.371967,1,1.0,1.0,3,0,0,0,0,0,0,0,0,Hillsborough,94010,California,None
8694,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-one-bedroom-available-march/7600255165.html,1799,600,santa rosa,38.467861,-122.758433,1,1.0,2.0,3,1,0,0,0,0,0,1,1,Santa Rosa,95403,California,None
8695,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-layout-new/7600293397.html,3222,844,bayview,37.710365,-122.390888,1,1.0,2.0,5,4,1,1,1,0,1,1,1,San Francisco,94134,California,None
8696,https://sfbay.craigslist.org/eby/apa/d/union-city-access-gate-cats-and-dogs/7597562658.html,2825,862,fremont / union city / newark,37.5735,-122.0469,2,1.0,2.0,4,4,0,0,0,0,1,1,1,Fremont,94555,California,None
8697,https://sfbay.craigslist.org/eby/apa/d/pleasanton-washer-dryer-parking-250/7595520665.html,2885,972,dublin / pleasanton / livermore,37.695638,-121.879282,2,2.0,2.0,4,4,0,1,0,0,0,1,1,Pleasanton,94588,California,None
8698,https://sfbay.craigslist.org/sby/apa/d/cupertino-amazing-apartment-in-great/7600064251.html,3095,900,san jose west,37.305279,-122.02977,2,1.0,2.0,3,1,0,1,0,0,0,0,0,San Jose,95014,California,None
8699,https://sfbay.craigslist.org/eby/apa/d/hayward-enjoy-the-spring-with-new/7600718141.html,2084,751,hayward / castro valley,37.648098,-122.089102,1,1.0,2.0,3,1,0,0,0,1,1,1,1,Hayward,94544,California,None
8700,https://sfbay.craigslist.org/eby/apa/d/emeryville-the-lifestyle-you-deserve/7593298296.html,2221,800,emeryville,37.829935,-122.279278,2,1.0,2.0,5,4,1,0,0,0,1,1,1,Emeryville,94608,California,None
